 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,0200,+6,-4.000000 
 29,0200,+7,-5.000000 
 29,0200,+8,-6.000000 
 29,0200,+9,-6.000000 
 29,0200,+10,-5.000000 
 29,0200,+11,-5.000000 
 29,0200,+12,-5.000000 
 29,0200,+13,-6.000000 
 29,0200,+14,-6.000000 
 29,0200,+15,-6.000000 
 29,0200,+16,-7.000000 
 29,0200,+17,-7.000000 
 29,0200,+18,-8.000000 
 29,0200,+19,-9.000000 
 29,0200,+20,-9.000000 
 29,0200,+21,-9.000000 
 29,0200,+22,-8.000000 
 29,0200,+23,-5.000000 
 29,0200,+24,-3.000000 
 29,0200,+25,-2.000000 
 29,0200,+26,-1.000000 
 29,0200,+27,-1.000000 
 29,0200,+28,-1.000000 
 29,0200,+29,-2.000000 
 29,0200,+30,-3.000000 
 29,0200,+31,-5.000000 
 29,0200,+32,-6.000000 
 29,0200,+33,-7.000000 
 29,0200,+34,-7.000000 
 29,0200,+35,-8.000000 
 29,0200,+36,-8.000000 
 29,0200,+37,-8.000000 
 29,0200,+38,-8.000000 
 29,0200,+39,-8.000000 
 29,0200,+40,-8.000000 
 29,0200,+41,-7.000000 
 29,0200,+42,-7.000000 
 29,0200,+43,-6.000000 
 29,0200,+44,-6.000000 
 29,0200,+45,-6.000000 
 29,0200,+46,-4.000000 
 29,0200,+47,-1.000000 
 29,0200,+48,1.000000 
 29,0200,+49,3.000000 
 29,0200,+50,3.000000 
 29,0200,+51,3.000000 
 29,0200,+52,4.000000 
 29,0200,+53,2.000000 
 29,0200,+54,1.000000 
 29,0200,+55,0.000000 
 29,0200,+56,-1.000000 
 29,0200,+57,-2.000000 
 29,0200,+58,-2.000000 
 29,0200,+59,-2.000000 
 29,0200,+60,-2.000000 
 29,0200,+61,-2.000000 
 29,0500,+6,-6.000000 
 29,0500,+7,-5.000000 
 29,0500,+8,-5.000000 
 29,0500,+9,-5.000000 
 29,0500,+10,-6.000000 
 29,0500,+11,-6.000000 
 29,0500,+12,-6.000000 
 29,0500,+13,-7.000000 
 29,0500,+14,-7.000000 
 29,0500,+15,-8.000000 
 29,0500,+16,-9.000000 
 29,0500,+17,-9.000000 
 29,0500,+18,-9.000000 
 29,0500,+19,-8.000000 
 29,0500,+20,-5.000000 
 29,0500,+21,-3.000000 
 29,0500,+22,-2.000000 
 29,0500,+23,-1.000000 
 29,0500,+24,-1.000000 
 29,0500,+25,-1.000000 
 29,0500,+26,-2.000000 
 29,0500,+27,-3.000000 
 29,0500,+28,-5.000000 
 29,0500,+29,-6.000000 
 29,0500,+30,-7.000000 
 29,0500,+31,-7.000000 
 29,0500,+32,-8.000000 
 29,0500,+33,-8.000000 
 29,0500,+34,-8.000000 
 29,0500,+35,-8.000000 
 29,0500,+36,-8.000000 
 29,0500,+37,-8.000000 
 29,0500,+38,-7.000000 
 29,0500,+39,-7.000000 
