 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,1100,+34,1.500000 
 29,1100,+35,1.400000 
 29,1100,+36,1.900000 
 29,1100,+37,2.100000 
 29,1100,+38,2.300000 
 29,1100,+39,2.200000 
 29,1100,+40,2.100000 
 29,1100,+41,2.400000 
 29,1100,+42,2.900000 
 29,1100,+43,3.200000 
 29,1100,+44,2.500000 
 29,1100,+45,2.500000 
 29,1100,+46,2.700000 
 29,1100,+47,2.600000 
 29,1100,+48,2.900000 
 29,1100,+49,3.000000 
 29,1100,+50,2.900000 
 29,1100,+51,2.900000 
 29,1100,+52,2.700000 
 29,1100,+53,2.800000 
 29,1100,+54,2.800000 
 29,1100,+55,2.900000 
 29,1100,+56,2.800000 
 29,1100,+57,2.500000 
 29,1100,+58,2.400000 
 29,1100,+59,2.800000 
 29,1100,+60,3.100000 
 29,1100,+61,3.800000 
 29,1100,+62,3.800000 
 29,1100,+63,3.900000 
 29,1100,+64,4.400000 
 29,1100,+65,5.100000 
 29,1100,+66,5.500000 
 29,1100,+67,5.400000 
 29,1100,+68,5.200000 
 29,1100,+69,4.000000 
 29,1100,+70,4.700000 
 29,1100,+71,5.000000 
 29,1100,+72,4.900000 
 29,1100,+73,4.800000 
 29,1100,+74,4.800000 
 29,1100,+75,4.600000 
 29,1100,+76,4.600000 
 29,1400,+6,2.300000 
 29,1400,+7,2.300000 
 29,1400,+8,2.200000 
 29,1400,+9,2.300000 
 29,1400,+10,2.100000 
 29,1400,+11,2.300000 
 29,1400,+12,2.200000 
 29,1400,+13,2.200000 
 29,1400,+14,2.400000 
 29,1400,+15,2.600000 
 29,1400,+16,2.900000 
 29,1400,+17,2.900000 
 29,1400,+18,2.400000 
 29,1400,+19,2.300000 
 29,1400,+20,2.400000 
 29,1400,+21,2.200000 
 29,1400,+22,2.200000 
 29,1400,+23,2.200000 
 29,1400,+24,1.900000 
 29,1400,+25,1.700000 
 29,1400,+26,1.300000 
 29,1400,+27,1.300000 
 29,1400,+28,1.400000 
 29,1400,+29,1.500000 
 29,1400,+30,1.500000 
 29,1400,+31,1.500000 
 29,1400,+32,1.400000 
 29,1400,+33,1.900000 
 29,1400,+34,2.100000 
 29,1400,+35,2.300000 
 29,1400,+36,2.200000 
 29,1400,+37,2.100000 
 29,1400,+38,2.400000 
 29,1400,+39,2.900000 
 29,1400,+40,3.200000 
 29,1400,+41,2.500000 
 29,1400,+42,2.500000 
 29,1400,+43,2.700000 
 29,1400,+44,2.600000 
 29,1400,+45,2.900000 
 29,1400,+46,3.000000 
 29,1400,+47,2.900000 
 29,1400,+48,2.900000 
 29,1400,+49,2.700000 
 29,1400,+50,2.800000 
 29,1400,+51,2.800000 
 29,1400,+52,2.900000 
 29,1400,+53,2.800000 
 29,1400,+54,2.500000 
 29,1400,+55,2.400000 
 29,1400,+56,2.800000 
 29,1400,+57,3.100000 
 29,1400,+58,3.800000 
 29,1400,+59,3.800000 
 29,1400,+60,3.900000 
 29,1400,+61,4.400000 
 29,1400,+62,5.100000 
 29,1400,+63,5.500000 
 29,1400,+64,5.400000 
 29,1400,+65,5.200000 
 29,1400,+66,4.000000 
 29,1400,+67,4.700000 
 29,1400,+68,5.000000 
 29,1400,+69,4.900000 
 29,1400,+70,4.800000 
 29,1400,+71,4.800000 
 29,1400,+72,4.600000 
 29,1400,+73,4.600000 
 29,1700,+6,2.300000 
 29,1700,+7,2.100000 
 29,1700,+8,2.300000 
 29,1700,+9,2.200000 
 29,1700,+10,2.200000 
 29,1700,+11,2.400000 
 29,1700,+12,2.600000 
 29,1700,+13,2.900000 
 29,1700,+14,2.900000 
 29,1700,+15,2.400000 
 29,1700,+16,2.300000 
 29,1700,+17,2.400000 
 29,1700,+18,2.200000 
 29,1700,+19,2.200000 
 29,1700,+20,2.200000 
 29,1700,+21,1.900000 
 29,1700,+22,1.700000 
 29,1700,+23,1.300000 
 29,1700,+24,1.300000 
 29,1700,+25,1.400000 
 29,1700,+26,1.500000 
 29,1700,+27,1.500000 
 29,1700,+28,1.500000 
 29,1700,+29,1.400000 
 29,1700,+30,1.900000 
 29,1700,+31,2.100000 
 29,1700,+32,2.300000 
 29,1700,+33,2.200000 
 29,1700,+34,2.100000 
 29,1700,+35,2.400000 
 29,1700,+36,2.900000 
 29,1700,+37,3.200000 
 29,1700,+38,2.500000 
 29,1700,+39,2.500000 
 29,1700,+40,2.700000 
 29,1700,+41,2.600000 
 29,1700,+42,2.900000 
 29,1700,+43,3.000000 
 29,1700,+44,2.900000 
 29,1700,+45,2.900000 
 29,1700,+46,2.700000 
 29,1700,+47,2.800000 
 29,1700,+48,2.800000 
 29,1700,+49,2.900000 
 29,1700,+50,2.800000 
 29,1700,+51,2.500000 
 29,1700,+52,2.400000 
 29,1700,+53,2.800000 
 29,1700,+54,3.100000 
 29,1700,+55,3.800000 
 29,1700,+56,3.800000 
 29,1700,+57,3.900000 
 29,1700,+58,4.400000 
 29,1700,+59,5.100000 
 29,1700,+60,5.500000 
 29,1700,+61,5.400000 
 29,1700,+62,5.200000 
 29,1700,+63,4.000000 
 29,1700,+64,4.700000 
 29,1700,+65,5.000000 
 29,1700,+66,4.900000 
 29,1700,+67,4.800000 
 29,1700,+68,4.800000 
 29,1700,+69,4.600000 
 29,1700,+70,4.600000 
 29,2000,+6,2.200000 
 29,2000,+7,2.200000 
 29,2000,+8,2.300000 
 29,2000,+9,2.600000 
 29,2000,+10,2.800000 
 29,2000,+11,2.900000 
 29,2000,+12,2.500000 
 29,2000,+13,2.600000 
 29,2000,+14,2.500000 
 29,2000,+15,2.200000 
 29,2000,+16,2.200000 
 29,2000,+17,2.100000 
 29,2000,+18,1.800000 
 29,2000,+19,1.500000 
 29,2000,+20,1.100000 
 29,2000,+21,1.100000 
 29,2000,+22,1.200000 
 29,2000,+23,1.000000 
 29,2000,+24,0.800000 
 29,2000,+25,1.000000 
 29,2000,+26,1.100000 
 29,2000,+27,1.300000 
 29,2000,+28,1.400000 
 29,2000,+29,1.300000 
 29,2000,+30,0.500000 
 29,2000,+31,1.200000 
 29,2000,+32,2.500000 
 29,2000,+33,3.200000 
 29,2000,+34,3.700000 
 29,2000,+35,3.100000 
 29,2000,+36,2.600000 
 29,2000,+37,2.800000 
 29,2000,+38,2.600000 
 29,2000,+39,3.000000 
 29,2000,+40,2.900000 
 29,2000,+41,3.000000 
 29,2000,+42,2.800000 
 29,2000,+43,2.600000 
 29,2000,+44,2.700000 
 29,2000,+45,2.700000 
 29,2000,+46,2.700000 
 29,2000,+47,2.600000 
 29,2000,+48,2.300000 
 29,2000,+49,2.200000 
 29,2000,+50,2.600000 
 29,2000,+51,2.900000 
 29,2000,+52,3.000000 
 29,2000,+53,3.000000 
 29,2000,+54,3.100000 
 29,2000,+55,3.300000 
 29,2000,+56,3.800000 
 29,2000,+57,4.200000 
 29,2000,+58,4.600000 
 29,2000,+59,4.500000 
 29,2000,+60,3.600000 
 29,2000,+61,4.200000 
 29,2000,+62,4.700000 
 29,2000,+63,4.700000 
 29,2000,+64,4.400000 
 29,2000,+65,4.500000 
 29,2000,+66,5.000000 
 29,2000,+67,5.200000 
 29,2300,+6,2.600000 
 29,2300,+7,2.800000 
 29,2300,+8,2.900000 
 29,2300,+9,2.500000 
 29,2300,+10,2.600000 
 29,2300,+11,2.500000 
 29,2300,+12,2.200000 
 29,2300,+13,2.200000 
 29,2300,+14,2.100000 
 29,2300,+15,1.800000 
 29,2300,+16,1.500000 
 29,2300,+17,1.100000 
 29,2300,+18,1.100000 
 29,2300,+19,1.200000 
 29,2300,+20,1.000000 
 29,2300,+21,0.800000 
 29,2300,+22,1.000000 
 29,2300,+23,1.100000 
 29,2300,+24,1.300000 
 29,2300,+25,1.400000 
 29,2300,+26,1.300000 
 29,2300,+27,0.500000 
 29,2300,+28,1.200000 
 29,2300,+29,2.500000 
 29,2300,+30,3.200000 
 29,2300,+31,3.700000 
 29,2300,+32,3.100000 
 29,2300,+33,2.600000 
 29,2300,+34,2.800000 
 29,2300,+35,2.600000 
 29,2300,+36,3.000000 
 29,2300,+37,2.900000 
 29,2300,+38,3.000000 
 29,2300,+39,2.800000 
 29,2300,+40,2.600000 
 29,2300,+41,2.700000 
