 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,1100,+34,70.000000 
 29,1100,+35,94.000000 
 29,1100,+36,126.000000 
 29,1100,+37,133.000000 
 29,1100,+38,140.000000 
 29,1100,+39,159.000000 
 29,1100,+40,185.000000 
 29,1100,+41,216.000000 
 29,1100,+42,241.000000 
 29,1100,+43,254.000000 
 29,1100,+44,252.000000 
 29,1100,+45,252.000000 
 29,1100,+46,260.000000 
 29,1100,+47,266.000000 
 29,1100,+48,268.000000 
 29,1100,+49,274.000000 
 29,1100,+50,280.000000 
 29,1100,+51,280.000000 
 29,1100,+52,272.000000 
 29,1100,+53,270.000000 
 29,1100,+54,276.000000 
 29,1100,+55,290.000000 
 29,1100,+56,305.000000 
 29,1100,+57,313.000000 
 29,1100,+58,324.000000 
 29,1100,+59,330.000000 
 29,1100,+60,329.000000 
 29,1100,+61,327.000000 
 29,1100,+62,327.000000 
 29,1100,+63,324.000000 
 29,1100,+64,322.000000 
 29,1100,+65,323.000000 
 29,1100,+66,325.000000 
 29,1100,+67,326.000000 
 29,1100,+68,328.000000 
 29,1100,+69,316.000000 
 29,1100,+70,315.000000 
 29,1100,+71,318.000000 
 29,1100,+72,319.000000 
 29,1100,+73,319.000000 
 29,1100,+74,321.000000 
 29,1100,+75,321.000000 
 29,1100,+76,323.000000 
 29,1400,+6,2.000000 
 29,1400,+7,5.000000 
 29,1400,+8,8.000000 
 29,1400,+9,13.000000 
 29,1400,+10,17.000000 
 29,1400,+11,15.000000 
 29,1400,+12,5.000000 
 29,1400,+13,344.000000 
 29,1400,+14,324.000000 
 29,1400,+15,310.000000 
 29,1400,+16,306.000000 
 29,1400,+17,306.000000 
 29,1400,+18,306.000000 
 29,1400,+19,317.000000 
 29,1400,+20,330.000000 
 29,1400,+21,342.000000 
 29,1400,+22,352.000000 
 29,1400,+23,357.000000 
 29,1400,+24,360.000000 
 29,1400,+25,7.000000 
 29,1400,+26,27.000000 
 29,1400,+27,51.000000 
 29,1400,+28,69.000000 
 29,1400,+29,70.000000 
 29,1400,+30,62.000000 
 29,1400,+31,70.000000 
 29,1400,+32,94.000000 
 29,1400,+33,126.000000 
 29,1400,+34,133.000000 
 29,1400,+35,140.000000 
 29,1400,+36,159.000000 
 29,1400,+37,185.000000 
 29,1400,+38,216.000000 
 29,1400,+39,241.000000 
 29,1400,+40,254.000000 
 29,1400,+41,252.000000 
 29,1400,+42,252.000000 
 29,1400,+43,260.000000 
 29,1400,+44,266.000000 
 29,1400,+45,268.000000 
 29,1400,+46,274.000000 
 29,1400,+47,280.000000 
 29,1400,+48,280.000000 
 29,1400,+49,272.000000 
 29,1400,+50,270.000000 
 29,1400,+51,276.000000 
 29,1400,+52,290.000000 
 29,1400,+53,305.000000 
 29,1400,+54,313.000000 
 29,1400,+55,324.000000 
 29,1400,+56,330.000000 
 29,1400,+57,329.000000 
 29,1400,+58,327.000000 
 29,1400,+59,327.000000 
 29,1400,+60,324.000000 
 29,1400,+61,322.000000 
 29,1400,+62,323.000000 
 29,1400,+63,325.000000 
 29,1400,+64,326.000000 
 29,1400,+65,328.000000 
 29,1400,+66,316.000000 
 29,1400,+67,315.000000 
 29,1400,+68,318.000000 
 29,1400,+69,319.000000 
 29,1400,+70,319.000000 
 29,1400,+71,321.000000 
 29,1400,+72,321.000000 
 29,1400,+73,323.000000 
 29,1700,+6,13.000000 
 29,1700,+7,17.000000 
 29,1700,+8,15.000000 
 29,1700,+9,5.000000 
 29,1700,+10,344.000000 
 29,1700,+11,324.000000 
 29,1700,+12,310.000000 
 29,1700,+13,306.000000 
 29,1700,+14,306.000000 
 29,1700,+15,306.000000 
 29,1700,+16,317.000000 
 29,1700,+17,330.000000 
 29,1700,+18,342.000000 
 29,1700,+19,352.000000 
 29,1700,+20,357.000000 
 29,1700,+21,360.000000 
 29,1700,+22,7.000000 
 29,1700,+23,27.000000 
 29,1700,+24,51.000000 
 29,1700,+25,69.000000 
 29,1700,+26,70.000000 
 29,1700,+27,62.000000 
 29,1700,+28,70.000000 
 29,1700,+29,94.000000 
 29,1700,+30,126.000000 
 29,1700,+31,133.000000 
 29,1700,+32,140.000000 
 29,1700,+33,159.000000 
 29,1700,+34,185.000000 
 29,1700,+35,216.000000 
 29,1700,+36,241.000000 
 29,1700,+37,254.000000 
 29,1700,+38,252.000000 
 29,1700,+39,252.000000 
 29,1700,+40,260.000000 
 29,1700,+41,266.000000 
 29,1700,+42,268.000000 
 29,1700,+43,274.000000 
 29,1700,+44,280.000000 
 29,1700,+45,280.000000 
 29,1700,+46,272.000000 
 29,1700,+47,270.000000 
 29,1700,+48,276.000000 
 29,1700,+49,290.000000 
 29,1700,+50,305.000000 
 29,1700,+51,313.000000 
 29,1700,+52,324.000000 
 29,1700,+53,330.000000 
 29,1700,+54,329.000000 
 29,1700,+55,327.000000 
 29,1700,+56,327.000000 
 29,1700,+57,324.000000 
 29,1700,+58,322.000000 
 29,1700,+59,323.000000 
 29,1700,+60,325.000000 
 29,1700,+61,326.000000 
 29,1700,+62,328.000000 
 29,1700,+63,316.000000 
 29,1700,+64,315.000000 
 29,1700,+65,318.000000 
 29,1700,+66,319.000000 
 29,1700,+67,319.000000 
 29,1700,+68,321.000000 
