 format: day,hour,forecast,value  location:51_129 Start : 20230101 
1,1700,20,-8
1,1700,21,-8
1,1700,22,-9
1,1700,23,-9
1,1700,24,-9
1,1700,25,-10
1,1700,26,-10
1,1700,27,-10
1,1700,28,-11
1,1700,29,-11
1,1700,30,-11
1,1700,31,-9
1,1700,32,-6
1,1700,33,-4
1,1700,34,-3
1,1700,35,-2
1,1700,36,-1
1,1700,37,-1
1,1700,38,-1
1,1700,39,-3
1,1700,40,-4
1,1700,41,-5
1,1700,42,-6
1,1700,43,-6
1,1700,44,-6
1,1700,45,-6
1,1700,46,-7
1,1700,47,-8
1,1700,48,-8
1,1700,49,-8
1,1700,50,-8
1,1700,51,-9
1,1700,52,-9
1,1700,53,-9
1,1700,54,-10
1,1700,55,-8
1,1700,56,-5
1,1700,57,-3
1,1700,58,-1
1,1700,59,-1
1,1700,60,0
1,1700,61,0
1,1700,62,-1
1,1700,63,-2
1,1700,64,-4
1,1700,65,-4
1,1700,66,-5
1,1700,67,-5
1,1700,68,-6
1,1700,69,-6
1,1700,70,-7
1,2000,6,-5
1,2000,7,-4
1,2000,8,-3
1,2000,9,-3
1,2000,10,-3
1,2000,11,-3
1,2000,12,-4
1,2000,13,-6
1,2000,14,-6
1,2000,15,-7
1,2000,16,-8
1,2000,17,-8
1,2000,18,-8
1,2000,19,-9
1,2000,20,-9
1,2000,21,-9
1,2000,22,-10
1,2000,23,-10
1,2000,24,-10
1,2000,25,-10
1,2000,26,-10
1,2000,27,-10
1,2000,28,-8
1,2000,29,-6
1,2000,30,-4
1,2000,31,-2
1,2000,32,-2
1,2000,33,-1
1,2000,34,-1
1,2000,35,-1
1,2000,36,-2
1,2000,37,-4
1,2000,38,-5
1,2000,39,-6
1,2000,40,-6
1,2000,41,-6
1,2000,42,-6
1,2000,43,-7
1,2000,44,-8
1,2000,45,-7
1,2000,46,-8
1,2000,47,-8
1,2000,48,-8
1,2000,49,-8
1,2000,50,-8
1,2000,51,-9
1,2000,52,-7
1,2000,53,-4
1,2000,54,-2
1,2000,55,-1
1,2000,56,0
1,2000,57,1
1,2000,58,1
1,2000,59,0
1,2000,60,-1
1,2000,61,-3
1,2000,62,-4
1,2000,63,-5
1,2000,64,-5
1,2000,65,-5
1,2000,66,-6
1,2000,67,-7
1,2300,6,-3
1,2300,7,-3
1,2300,8,-3
1,2300,9,-4
1,2300,10,-6
1,2300,11,-6
1,2300,12,-7
1,2300,13,-8
1,2300,14,-8
1,2300,15,-8
1,2300,16,-9
1,2300,17,-9
1,2300,18,-9
1,2300,19,-10
1,2300,20,-10
1,2300,21,-10
1,2300,22,-10
1,2300,23,-10
1,2300,24,-10
1,2300,25,-8
1,2300,26,-6
1,2300,27,-4
1,2300,28,-2
1,2300,29,-2
1,2300,30,-1
1,2300,31,-1
1,2300,32,-1
1,2300,33,-2
1,2300,34,-4
1,2300,35,-5
1,2300,36,-6
1,2300,37,-6
1,2300,38,-6
1,2300,39,-6
1,2300,40,-7
1,2300,41,-8
1,2300,42,-7
1,2300,43,-8
1,2300,44,-8
1,2300,45,-8
1,2300,46,-8
1,2300,47,-8
1,2300,48,-9
1,2300,49,-7
1,2300,50,-4
1,2300,51,-2
1,2300,52,-1
1,2300,53,0
1,2300,54,1
1,2300,55,1
1,2300,56,0
1,2300,57,-1
1,2300,58,-3
1,2300,59,-4
1,2300,60,-5
1,2300,61,-5
1,2300,62,-5
1,2300,63,-6
1,2300,64,-7
 Start : 20230102 ,,,
2,200,6,-4
2,200,7,-6
2,200,8,-6
2,200,9,-7
2,200,10,-8
2,200,11,-8
2,200,12,-8
2,200,13,-9
2,200,14,-9
2,200,15,-9
2,200,16,-10
2,200,17,-10
2,200,18,-10
2,200,19,-10
2,200,20,-10
2,200,21,-10
2,200,22,-8
2,200,23,-6
2,200,24,-4
2,200,25,-2
2,200,26,-2
2,200,27,-1
2,200,28,-1
2,200,29,-1
2,200,30,-2
2,200,31,-4
2,200,32,-5
2,200,33,-6
2,200,34,-6
2,200,35,-6
2,200,36,-6
2,200,37,-7
2,200,38,-8
2,200,39,-7
2,200,40,-8
2,200,41,-8
2,200,42,-8
2,200,43,-8
2,200,44,-8
2,200,45,-9
2,200,46,-7
2,200,47,-4
2,200,48,-2
2,200,49,-1
2,200,50,0
2,200,51,1
2,200,52,1
2,200,53,0
2,200,54,-1
2,200,55,-3
2,200,56,-4
2,200,57,-5
2,200,58,-5
2,200,59,-5
2,200,60,-6
2,200,61,-7
2,500,6,-7
2,500,7,-8
2,500,8,-8
2,500,9,-8
2,500,10,-9
2,500,11,-9
2,500,12,-9
2,500,13,-10
2,500,14,-10
2,500,15,-10
2,500,16,-10
2,500,17,-10
2,500,18,-10
2,500,19,-8
2,500,20,-6
2,500,21,-4
2,500,22,-2
2,500,23,-2
2,500,24,-1
2,500,25,-1
2,500,26,-1
2,500,27,-2
2,500,28,-4
